ra,dec,d,phase,start_times,end_times
103.24109,-12.87755,1135.3,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
88.46308,0.39309,365.3,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
86.45472,4.30183,359.0,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
85.75155,2.46923,342.5,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
2.34456,59.43563,428.4,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
346.27755,65.75262,378.4,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
85.8739,4.31463,339.2,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
86.3291,0.35657,346.9,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
86.92491,6.13159,335.2,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
93.90208,-11.72618,923.8,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
103.65342,-13.67849,1180.9,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
327.46453,76.49076,255.6,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
305.05327,40.46255,1032.8,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
87.81314,12.07673,394.6,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
307.78797,40.45886,957.8,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
81.6074,-3.76506,320.5,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
305.78746,39.34342,1023.5,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
318.27827,46.77861,744.5,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
329.27397,65.13366,456.2,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
88.77695,0.22795,447.7,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
313.70063,87.44981,163.0,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
101.95542,-13.2791,1114.9,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
94.23405,-11.24696,980.7,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
306.36375,38.41675,995.4,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
93.43447,4.25978,331.3,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
332.78089,58.39046,452.8,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
79.1617,-7.80129,264.7,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
306.39972,32.39709,1061.2,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
354.4111,56.72756,416.9,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
358.90578,56.74241,396.0,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
306.2442,42.27477,993.8,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
306.2411,38.97427,979.6,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
306.53629,40.16081,957.5,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
91.73382,-10.0526,922.6,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
