ra,dec,d,phase,start_times,end_times
117.57286,-5.38699,1149.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
103.6804,8.30223,357.6,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
99.16956,11.07863,350.6,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
97.88487,8.95749,332.4,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
5.92409,43.38436,453.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
357.50067,47.49952,388.6,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
97.22268,10.4217,330.4,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
99.80496,7.46468,335.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
97.69644,11.90625,328.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
117.13244,0.05368,921.8,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
116.24316,-7.13081,1188.6,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
358.44054,47.34519,252.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
305.70038,40.12142,1032.4,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
100.13449,18.49589,393.4,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
311.68817,38.14867,959.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
92.76059,2.10875,303.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
306.94316,38.70785,1023.3,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
311.40021,50.71358,746.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
342.09158,55.14932,452.4,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
108.07748,10.13041,443.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
9.77845,42.31355,156.7,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
117.21358,-5.35951,1124.6,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
115.58036,-0.43343,975.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
308.81657,37.00417,996.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
106.72688,11.02004,332.8,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
342.15777,49.20907,458.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
85.81099,-4.47478,252.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
304.73633,33.366,1060.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
0.29776,41.3909,443.6,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
3.7061,39.62855,427.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
309.36593,40.56251,992.8,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
309.41831,37.14294,980.3,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
310.36199,37.95414,958.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
115.20282,1.8019,913.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
108.99065,3.61306,407.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
311.88605,52.38098,622.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
100.94141,11.85624,373.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
104.50619,4.69223,361.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
97.55956,4.16785,305.7,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
116.06191,5.62729,846.3,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
311.82135,48.96754,771.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
309.71745,36.96128,950.8,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
310.04762,46.47666,793.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
311.17881,50.69721,736.4,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
348.45253,61.0668,353.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
97.37978,20.07835,383.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
94.56403,15.72724,374.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
102.62608,18.22605,404.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
103.37618,18.13233,397.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
101.32258,9.35814,351.7,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
104.58623,10.31067,393.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
107.77163,10.97223,412.3,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
109.26281,2.63771,421.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
116.10305,5.32254,861.3,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
117.04175,5.467,851.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
114.57741,2.14068,828.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
116.46785,-0.18687,676.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
116.47403,-0.62637,658.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
117.48494,-6.67336,1185.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
117.2381,-7.26121,1196.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
352.70074,48.44172,486.8,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
105.44132,8.17571,386.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
354.64221,54.16067,336.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
336.63671,44.14261,455.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
102.23515,8.24855,342.9,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
103.72393,9.10526,390.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
104.36422,6.07512,369.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
306.27849,40.05543,1024.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
312.02049,43.72153,873.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
309.89823,46.1781,817.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
311.75777,52.44325,626.4,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
315.27326,52.20968,562.7,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
311.48524,59.72193,758.4,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
324.52399,57.33405,449.3,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
342.01157,55.23828,453.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
353.38312,53.20321,394.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
354.20423,53.98034,335.7,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
4.08449,42.09882,446.5,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
83.84211,18.10071,306.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
107.53515,13.05167,404.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
105.17046,8.04119,371.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
101.79602,6.68097,347.8,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
108.81197,3.52253,410.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
106.80792,1.94432,287.7,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
115.39026,0.57444,1016.4,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
122.66579,3.50355,885.2,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
119.5143,-1.43017,683.3,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
116.37658,-0.01384,979.0,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
116.42848,-6.01415,1175.1,228,2025-05-28T11:55:55Z,2025-05-29T11:55:55Z
