ra,dec,d,phase,start_times,end_times,color
100.01022893788,-14.4247476691469,1144.1,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
100.714077412687,6.804384830072,356.6,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
98.8076068637282,10.8949310499369,350.5,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
98.6936460821078,9.37280307983514,332.4,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
2.86273157771395,57.7571908918514,429.3,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
347.924767532857,64.0933677295394,377.6,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
98.8481262289311,11.2532004977858,330.5,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
99.1779442692308,7.14342022580215,335.9,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
100.0627387209,13.099272598666,329.5,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
93.0708938155868,-12.1116594023975,927.3,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
100.317503117302,-15.2683955305262,1190.6,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
320.397742607373,78.0485774190505,258.9,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
306.234667313602,39.8344064062804,1032.2,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
99.3820107356278,18.1357593538639,392.8,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
308.105363029097,40.2813066842457,957.7,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
95.2422437465325,3.41103015226388,301.3,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
306.943160516823,38.7078471628774,1023.3,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
317.637764368448,47.1897983134231,744.4,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
334.065518140454,62.2248395307607,453.0,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
98.7073516010604,5.43726350354726,437.4,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
207.652098524468,82.1468945625221,178.6,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
98.8045728880784,-14.7676781774886,1124.7,60,2023-12-17T11:55:55Z,2023-12-18T11:55:55Z,:255:31:60:241
