ra,dec,d,phase,start_times,end_times,color
103.973769398929,-12.5182182694152,1133.9,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
117.78722869944,14.8904761281885,378.8,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
115.154991254713,18.4229782533944,370.3,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
115.186931579468,17.0939822819891,350.3,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
4.9553334505868,48.9441536762146,440.1,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
354.497511946741,54.4485465370287,379.7,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
115.13428112693,18.723183752843,349.4,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
116.064978736465,15.1844261499909,354.0,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
116.078340827622,20.2199376955562,350.8,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
102.907964231366,-7.34707515630393,900.7,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
103.285091557204,-13.8574312797634,1181.7,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
345.050077623848,68.2777849929514,246.2,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
307.49883528962,39.1357543353725,1031.9,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
114.569323009235,24.5028537618766,418.4,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
309.975134093073,39.1982201446112,958.1,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
112.570916182599,12.0372368518567,309.2,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
308.486106050531,37.8232423056951,1023.6,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
314.165262693127,49.2540608438131,745.0,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
342.091581649918,55.1493204251171,452.4,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
115.743488718194,13.6869243459861,458.5,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
317.358872868998,87.3386314455136,162.8,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
103.241289192662,-12.6547484464595,1111.9,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
100.97087412474,-7.98265826231677,961.0,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
309.216389959266,36.7639012803209,996.4,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
123.136312776403,18.1677815392325,365.6,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
342.917241465565,48.2297934785013,459.6,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
112.716193681368,9.19384097660599,247.0,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
307.074196238341,31.9918469041304,1062.1,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
358.965458675518,45.7864093361969,432.3,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
2.27191757206853,46.043231903349,410.7,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
309.260994534753,40.6229376706185,992.8,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
309.01720512205,37.383979565358,980.1,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
308.839787328408,38.8637306250172,957.5,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
101.232909797232,-5.39404806419674,895.8,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
117.444237169509,7.81293530036699,421.6,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
319.710871029473,47.9263244910182,619.6,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
114.904037343993,18.2175243444823,393.8,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
117.375280745733,10.9597111918526,378.8,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
116.642499871236,13.4578813993294,321.4,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
103.923935421885,-0.542297050084461,820.2,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
312.878901977234,48.3996242428287,771.2,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
308.003113304525,37.9805629048833,949.8,126,2024-02-21T11:55:55Z,2024-02-22T11:55:55Z,:172:31:60:241
