ra,dec,d,phase,start_times,end_times
116.95697,-5.72497,1146.9,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
106.30565,9.6004,359.5,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
101.80777,12.39707,351.6,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
100.67896,10.38009,332.8,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
5.98631,42.98694,454.1,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
357.64352,47.11142,389.4,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
99.93692,11.80265,330.8,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
102.50308,8.83097,336.6,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
100.52035,13.32627,329.7,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
117.13244,0.05368,921.6,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
115.71347,-7.4205,1186.6,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
358.33867,47.63719,251.6,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
305.91463,40.00691,1032.3,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
102.50659,19.6017,395.6,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
311.68817,38.14867,959.3,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
95.68603,3.64298,301.1,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
307.15107,38.59108,1023.3,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
311.15174,50.83732,747.1,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
342.64182,54.52515,452.8,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
110.18207,11.13622,446.3,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
9.64311,44.21099,154.8,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
116.68539,-5.64861,1122.6,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
115.40341,-0.52666,974.4,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
309.0168,36.88421,996.2,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
109.57535,12.37286,335.9,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
342.71303,48.49736,459.2,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
89.11006,-2.78641,247.6,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
304.93392,33.25316,1060.0,220,2025-05-20T11:55:55Z,2025-05-21T11:55:55Z
