ra,dec,d,phase,start_times,end_times
110.84038,-9.01497,1131.5,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
81.83255,-3.11756,379.6,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
79.11523,0.20328,375.1,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
77.95273,-1.82247,360.9,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
3.36136,55.97793,430.6,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
349.91038,61.7621,377.0,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
77.67118,-0.28915,357.3,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
78.91761,-3.60523,364.7,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
78.46998,1.34095,352.0,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
101.9181,-7.84436,901.8,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
110.82207,-10.04353,1176.5,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
347.43481,66.17076,245.1,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
304.07027,40.9674,1033.6,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
81.07447,8.16484,405.4,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
308.83949,39.86368,957.8,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
73.20219,-8.06599,346.5,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
305.0411,39.74184,1023.9,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
316.87791,47.66493,744.3,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
329.56709,64.97644,455.9,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
85.32915,-1.5956,455.7,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
7.37081,63.66803,146.8,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
109.76128,-9.3543,1107.5,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
102.50161,-7.21593,958.7,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
306.15508,38.53213,995.4,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
85.04985,-0.22036,342.3,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
332.45045,58.63584,452.9,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
68.23154,-12.90986,299.5,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
305.131,33.14002,1060.2,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
355.80277,53.93752,419.2,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
0.36392,52.72951,399.7,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
306.46482,42.15943,993.7,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
306.45093,38.85874,979.5,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
307.48904,39.6357,957.3,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
99.61845,-6.20656,898.3,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
84.8233,-8.56313,430.1,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
313.39751,51.62318,621.4,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
80.38229,0.80619,395.7,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
81.67464,-6.97389,389.1,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
76.96005,-6.57159,339.9,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
97.77399,-3.68061,824.9,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
316.98603,45.96954,770.6,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
306.97252,38.5683,949.7,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
314.4525,43.95086,792.3,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
316.66815,47.65849,733.7,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
326.38751,74.63811,367.6,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
79.57271,10.19748,396.1,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
76.51703,5.40549,400.4,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
82.8525,7.74959,413.0,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
83.48622,7.66761,403.6,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
80.2428,-1.84208,375.9,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
82.71198,-1.15172,412.3,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
85.27683,-0.6443,423.2,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
84.77872,-9.62586,446.8,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
98.35611,-3.72034,839.1,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
98.84903,-3.80549,825.6,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
96.01824,-7.33027,822.8,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
93.67493,-11.72419,680.1,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
93.2905,-12.33218,664.2,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
111.90193,-9.69991,1170.3,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
111.91535,-10.1463,1183.2,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
346.1518,58.63652,475.9,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
82.93641,-3.49636,407.2,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
341.20175,69.71377,338.2,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
327.67116,52.43671,447.0,330,2025-09-07T11:55:55Z,2025-09-08T11:55:55Z
