ra,dec,d,phase,start_times,end_times
116.6928,-5.86962,1145.8,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
86.78479,-0.49763,368.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
83.04184,2.40363,365.3,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
81.54476,0.15522,351.0,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
4.85851,49.44013,439.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
354.49751,54.44855,379.7,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
81.06917,1.62561,348.5,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
83.06793,-1.3917,353.6,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
81.59768,3.12788,344.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
111.46904,-2.93186,904.7,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
116.06667,-7.22744,1187.8,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
355.93606,53.64804,246.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
304.29,40.85594,1033.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
84.90481,10.41719,398.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
310.38274,38.95353,958.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
76.34757,-6.47985,335.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
305.36202,39.57167,1023.7,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
314.16526,49.25406,745.0,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
335.34719,61.30698,452.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
92.13714,2.004,442.3,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
9.67231,43.81154,155.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
115.9803,-6.03334,1120.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
111.24164,-2.71426,962.5,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
307.08885,38.01003,995.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
89.36869,2.09592,335.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
336.50707,55.30075,452.9,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
69.6301,-12.28768,294.0,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
304.33961,33.59073,1059.8,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
358.30446,47.7345,428.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
2.34512,45.74759,411.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
307.66398,41.51766,993.0,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
307.79833,38.09883,979.6,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
309.04497,38.7436,957.5,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
109.25336,-1.28083,897.3,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
91.95693,-5.06247,413.3,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
310.71837,52.93632,623.5,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
84.92511,3.34256,385.0,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
87.23641,-4.18007,374.9,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
80.44559,-4.78805,329.6,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
108.01807,1.55561,823.6,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
314.81276,47.30136,770.6,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
308.5122,37.68336,950.0,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
312.95508,44.85398,792.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
313.83241,49.30727,734.6,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
341.00139,67.97136,356.6,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
82.694,12.09023,390.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
79.86537,7.44023,391.3,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
87.22878,10.26374,405.8,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
87.78098,10.11894,396.9,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
84.72667,0.58904,365.1,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
88.25976,1.83496,400.1,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
91.36676,2.60277,411.9,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
92.39704,-5.93703,428.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
108.42135,1.4265,838.9,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
109.09162,1.4345,826.9,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
106.40081,-2.07993,812.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
104.65622,-6.34852,661.7,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
104.30217,-6.97797,644.8,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
117.2209,-6.81912,1184.3,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
117.06193,-7.35851,1196.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
349.12464,54.65814,478.1,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
88.785,-0.43003,394.0,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
350.27164,61.29269,333.5,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
330.99434,49.75171,448.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
85.27683,-0.6443,355.9,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
87.34813,0.57193,399.6,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
87.37506,-2.69966,381.5,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
304.7665,40.85319,1025.1,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
313.39962,42.89511,873.1,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
312.57756,44.68616,816.2,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
310.71837,52.93632,627.4,284,2025-07-23T11:55:55Z,2025-07-24T11:55:55Z
