ra,dec,d,phase,start_times,end_times
106.15978,-11.42863,1131.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
118.92471,15.37454,381.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
116.0287,18.77554,372.5,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
116.05141,17.45256,352.1,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
5.32424,46.95947,444.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
355.64514,52.04462,382.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
115.81519,18.9967,350.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
117.10799,15.63043,356.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
116.67027,20.44782,352.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
106.1328,-5.70526,899.2,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
105.21264,-12.91204,1178.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
349.36924,64.12621,244.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
307.49884,39.13575,1031.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
115.49315,24.82716,420.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
310.4842,38.89213,958.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
113.21873,12.33562,310.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
308.48611,37.82324,1023.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
313.22248,49.76913,745.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
343.17545,53.89855,453.2,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
117.62276,14.51033,463.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
356.43047,81.85969,155.5,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
105.52199,-11.5248,1108.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
103.93754,-6.48965,957.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
309.51461,36.58282,996.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
123.91839,18.46572,368.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
343.64812,47.24571,461.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
112.62508,9.15015,246.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
306.78587,32.16596,1061.7,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
359.58176,43.83477,436.8,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
2.8142,43.77551,415.7,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
309.57522,40.44138,992.8,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
309.41831,37.14294,980.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
309.35145,38.56273,957.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
104.53865,-3.71127,893.8,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
119.35271,8.73119,426.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
318.85115,48.48465,619.5,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
116.06741,18.68888,396.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
118.76088,11.59498,382.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
117.392,13.78866,322.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
107.30577,1.19103,822.7,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
312.17652,48.77931,771.7,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
308.5122,37.68336,950.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
308.76573,47.14017,794.1,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
313.47953,49.50033,734.8,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
342.79607,66.64057,355.5,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
114.22918,26.98434,410.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
111.22282,23.26675,392.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
116.99071,24.0577,434.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
118.05505,24.03081,428.2,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
117.4803,16.81209,374.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
117.61797,16.2558,416.8,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
119.3606,16.16594,437.8,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
118.41299,7.21794,438.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
107.0862,0.74237,837.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
108.20156,0.97826,825.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
105.60001,-2.49192,812.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
111.86593,-2.61137,666.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
112.58252,-2.68316,649.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
106.49213,-12.49735,1169.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
106.31478,-13.03561,1182.7,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
353.25619,47.30102,489.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
118.42603,14.23975,409.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
349.83681,61.85586,333.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
339.06209,41.24693,462.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
118.78755,15.92782,366.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
116.84736,15.20966,411.2,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
118.32846,12.75074,390.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
307.9632,39.12026,1023.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
308.68999,45.56196,874.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
307.55427,47.37124,819.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
318.74236,48.55398,623.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
322.65103,47.6193,562.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
315.96008,57.81832,752.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
328.23156,54.89017,448.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
343.1002,53.98821,454.3,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
351.36422,56.71739,391.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
349.46666,61.4697,333.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
3.36128,45.55977,437.6,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
107.68083,29.40292,316.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
120.15527,18.4894,433.5,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
119.18064,14.56503,395.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
117.8362,14.29311,368.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
119.07952,8.60058,428.7,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
126.62825,11.60043,320.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
103.56962,-5.55425,997.0,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
113.27587,-1.42321,845.4,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
114.58031,-4.09036,670.2,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
104.7434,-6.07932,957.9,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
105.34208,-11.8392,1161.7,141,2024-03-07T11:55:55Z,2024-03-08T11:55:55Z
