ra,dec,d,phase,start_times,end_times,color
102.230213408753,-13.3682771763068,1137.6,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
115.527506422878,13.9058109437309,373.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
113.130234660595,17.5850438513312,366.1,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
113.277745824699,16.2842209771576,346.5,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
4.5350005622772,51.0266998095285,436.6,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
353.207038263172,56.8402486680578,378.1,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
113.29717071406,17.9685545175631,345.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
114.085950273662,14.3198423220829,349.9,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
114.31295094712,19.5245323152795,347.0,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
100.021672204772,-8.78716803093815,905.0,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
101.806044974649,-14.5675903240759,1185.6,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
339.830419944093,71.7494000126323,249.0,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
307.394454747407,39.1944949189106,1031.9,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
112.736032059698,23.8375768502448,413.6,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
309.564689084313,39.4414815550859,957.9,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
110.635977669994,11.1332956358359,306.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
308.282542600355,37.942348990421,1023.5,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
314.974095851097,48.7972034927053,744.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
340.766900514822,56.5661730309285,451.8,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
113.134558613808,12.5107441863373,452.0,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
227.977446504212,86.3411752610566,169.6,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
101.40232788764,-13.5447080480559,1116.2,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
98.3461022913474,-9.27727256205947,966.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
308.91676195637,36.9442318691643,996.1,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
121.289558787939,17.447673353302,360.0,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
341.874125809174,49.5639011614604,457.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
111.35177403996,8.53612198185235,245.6,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
307.265804257453,31.8754084755242,1062.3,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
358.304462638062,47.7344971671391,428.2,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
1.70988261368161,48.209761410077,406.5,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
308.839362281275,40.8636760059516,992.8,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
308.61352434132,37.6236535743147,979.8,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
308.323785453632,39.1624831251942,957.4,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
98.3593516924299,-6.83516433535072,900.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
114.642057007376,6.44213826825279,415.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
320.343511094622,47.5034483177623,619.8,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
112.787537355049,17.3354133461816,389.0,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
114.987521205106,9.84405837626676,373.8,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
114.684814793943,12.5792167425024,317.9,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
100.807515769762,-2.13724758112047,821.1,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
313.685131091961,47.9513405913568,770.9,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
307.48990364427,38.2755572745959,949.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
309.932390014707,46.5375628676943,793.3,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
315.329999971507,48.4585913261596,734.0,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
335.220570634715,71.3173676564897,360.8,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
111.933037376265,26.1942663189016,404.2,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
108.531869561973,22.2033767850001,387.7,112,2024-02-07T11:55:55Z,2024-02-08T11:55:55Z,:217:31:60:241
