ra,dec,d,phase,start_times,end_times,color
103.516086198559,-12.7430343871599,1134.6,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
117.314799375511,14.6871217338003,377.8,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
114.767834050433,18.2650033694359,369.6,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
114.8995176199,16.9736416115162,349.7,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
4.8780309178514,49.3409442444071,439.4,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
354.251773268067,54.9279467850482,379.3,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
114.746183578083,18.5657844647723,348.7,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
115.781291722067,15.061953347838,353.3,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
115.783030874849,20.1052507472962,350.2,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
102.278316804862,-7.66379177511897,901.4,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
102.91619722497,-14.0358188695547,1182.5,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
343.993663636698,69.0917844437518,246.7,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
307.49883528962,39.1357543353725,1031.9,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
114.262446317365,24.3935031203435,417.5,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
309.872790251662,39.2591704463963,958.0,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
112.293723420268,11.9088976848182,308.8,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
308.384406631471,37.8828394621961,1023.6,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
314.281721985075,49.1891430165674,745.0,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
341.850475679206,55.4160495382491,452.3,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
115.275764375705,13.4788369097832,457.2,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
293.478735175382,87.7896453117559,164.3,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
102.874553837952,-12.8337747306218,1112.7,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
100.338936414126,-8.29676257091385,962.0,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
309.216389959266,36.7639012803209,996.3,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
122.843725588708,18.0552393411128,364.7,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
342.713031710111,48.497360017248,459.2,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
112.533986294115,9.10643373599413,246.8,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
307.170060921118,31.9336636442981,1062.1,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
358.837031517365,46.1763270345712,431.4,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
2.17307966665687,46.4373473900889,409.8,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
309.155872396285,40.6832659041514,992.8,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
308.916527722989,37.4440266875773,980.0,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
308.736935319789,38.9236626167345,957.4,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
100.605613671632,-5.71056718038518,896.6,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
116.900545800539,7.5489638779314,420.4,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
319.92289343147,47.7857527653759,619.7,123,2024-02-18T11:55:55Z,2024-02-19T11:55:55Z,:182:31:60:241
