ra,dec,d,phase,start_times,end_times,color
108.868758559409,-10.0442359298744,1130.1,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
82.2754069538541,-2.88429206601751,378.4,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
79.8128809625851,0.594817200549892,373.2,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
78.7415991656382,-1.38868768268551,358.5,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
3.00605611891407,57.2631530900647,429.6,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
348.676443312603,63.2573565015223,377.3,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
78.5422648868342,0.201984757011474,354.8,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
79.5367199834204,-3.27647279886082,362.7,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
79.4248977116723,1.8876251213269,349.6,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
99.4781116473566,-9.05483865244435,906.1,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
109.024869831419,-10.9803793934071,1175.5,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
343.498596566497,69.4513662979891,247.0,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
304.180225753303,40.9117213648663,1033.4,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
81.6806324123136,8.52582112343892,404.1,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
308.525967070948,40.0432298489063,957.7,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
74.1031742695931,-7.61505917537272,343.0,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
305.148247794209,39.6852157232049,1023.8,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
317.422061074075,47.3260620005959,744.3,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
328.827746299449,65.3684023278592,456.6,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
85.0637680387658,-1.73571642913943,456.3,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
5.67929079007007,70.336013852646,148.1,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
107.69412616212,-10.4234409058171,1107.0,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
100.067799070643,-8.43107587821748,962.5,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
306.155082719098,38.532133896134,995.4,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
85.8427937688387,0.205372093209086,340.8,342,2025-09-19T11:55:55Z,2025-09-20T11:55:55Z,:255:31:60:241
