ra,dec,d,phase,start_times,end_times,color
107.878332865512,-10.5545514451905,1130.1,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
119.019737008232,15.4146225423761,382.2,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
115.931439956489,18.7365618894687,372.2,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
115.85900995144,17.3731937379731,351.6,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
5.5496461306885,45.6688215622172,447.2,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
356.316627328678,50.5007299233171,383.9,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
115.523100214044,18.8797823737273,350.2,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
117.012989522892,15.5900823291415,356.0,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
116.275455608035,20.2961212436735,351.4,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
108.450030180087,-4.50810568826579,900.4,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
106.853140273443,-12.0905051530846,1176.2,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
351.854146179053,60.9246497697533,244.1,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
307.49883528962,39.1357543353725,1031.9,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
115.493152214058,24.8271606585384,420.7,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
310.787529550641,38.7074291554544,958.5,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
112.848373582592,12.1653022375075,309.6,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
308.486106050531,37.8232423056951,1023.6,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
312.623060696279,50.087099426012,746.0,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
343.693281760462,53.2696550806673,453.8,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
118.283752515163,14.7950096777247,466.1,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
2.70760657935125,76.4796341411103,151.1,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
107.333216430111,-10.6080564732157,1107.1,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
106.173057886324,-5.34694776452004,956.8,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
309.613704376449,36.5222987578856,996.7,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
123.82048366984,18.4286503309347,367.9,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
344.035400731923,46.7070259013928,462.2,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
111.533416820759,8.62410095505036,245.8,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
306.593042908724,32.2816756512982,1061.4,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
359.932460294858,42.6622680026831,439.9,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
3.12448515217084,42.3939661385586,419.3,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
309.783766178506,40.3198768749899,992.8,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
309.617897002798,37.0219186619758,980.5,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
309.656395843564,38.3810615606772,957.8,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
106.853714364011,-2.52109591789245,894.5,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
120.082165127238,9.07854452509954,428.6,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
318.08331454486,48.9678194374631,619.5,152,2024-03-18T11:55:55Z,2024-03-19T11:55:55Z,:89:31:60:241
