ra,dec,d,phase,start_times,end_times
100.28884,-14.2938,1143.3,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
109.40923,11.09681,362.9,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
107.35335,15.03971,356.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
107.45703,13.67066,337.7,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
3.71849,54.59278,431.9,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
350.62224,60.82236,376.9,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
107.50321,15.43455,336.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
108.0538,11.54583,340.8,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
108.72663,17.1723,337.2,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
95.64927,-10.90464,916.8,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
100.22414,-15.31187,1190.8,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
328.84722,76.11285,254.9,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
306.97518,39.42852,1032.0,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
107.25102,21.67567,402.3,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
308.73517,39.92362,957.7,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
104.53858,8.17242,301.3,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
307.77074,38.23857,1023.4,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
316.4375,47.93416,744.3,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
337.79706,59.35225,451.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
106.71214,9.4672,441.3,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
207.85687,82.24295,178.3,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
99.27053,-14.55136,1123.1,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
94.60169,-11.07403,979.2,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
308.2121,37.36205,995.7,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
115.55201,15.06693,346.0,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
339.60692,52.20134,454.7,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
105.30982,5.54574,241.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
307.36143,31.81708,1062.4,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
356.98001,51.23032,422.4,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
0.61722,51.94463,400.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
307.98687,41.34049,992.9,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
307.79833,38.09883,979.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
307.48904,39.6357,957.3,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
93.92454,-9.00739,913.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
107.91905,3.06939,406.5,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
320.65601,47.29072,619.9,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
106.93027,14.73559,379.1,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
108.54433,6.71866,364.4,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
108.61558,9.73097,309.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
95.62661,-4.76409,829.4,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
315.14562,47.10424,770.5,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
306.66007,38.74284,949.7,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
311.18588,45.86131,792.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
316.7778,47.59112,733.7,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
326.38751,74.63811,367.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
106.73138,24.22749,393.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
103.08065,19.8625,379.7,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
108.39237,20.76835,413.3,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
109.63606,20.86026,406.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
108.35253,12.78007,357.3,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
107.60227,11.76933,396.7,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
109.0557,11.58398,414.2,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
106.67877,1.31823,419.9,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
95.4915,-5.16384,845.0,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
96.52219,-4.97928,830.0,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
93.75468,-8.4361,829.6,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
98.43501,-9.45473,668.4,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
98.97665,-9.63247,650.5,87,2024-01-13T11:55:55Z,2024-01-14T11:55:55Z
