ra,dec,d,phase,start_times,end_times,color
100.381643935445,-14.2500757296188,1142.9,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
109.960090240761,11.3576928302073,363.7,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
107.915014636065,15.2968614321676,357.3,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
108.014241844333,13.9298633232314,338.4,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
3.79186638792289,54.29582558681,432.2,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
350.827687947068,60.5397261676955,376.9,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
108.066398768912,15.6907795059117,337.3,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
108.605134481728,11.8075079843562,341.5,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
109.297557898281,17.4230267089751,338.0,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
96.0158397929585,-10.7303984920871,915.8,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
100.317503117302,-15.2683955305262,1190.6,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
329.900932528948,75.8051931001214,254.4,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
306.975183521812,39.4285208380425,1032.0,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
107.841002574922,21.9204587422704,403.2,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
308.735166218271,39.9236236660789,957.7,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
105.080419786669,8.44175625441681,301.6,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
307.770740117387,38.2385706191274,1023.4,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
316.326678915811,48.0011969908627,744.4,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
338.095744080542,59.0940983605673,451.6,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
107.348618316257,9.77737474624269,442.0,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
208.281914410067,82.4347566195321,177.8,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
99.3636072765052,-14.5079874800714,1122.7,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
94.8771362709524,-10.9440473294071,978.2,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
308.212095305608,37.3620474896771,995.7,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
116.119596447104,15.3117904454641,347.1,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
339.845499027155,51.9396312051827,454.9,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
105.937623731295,5.8615901401417,241.8,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
307.361426526111,31.8170816513512,1062.4,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
357.058751204126,51.0365199940428,422.8,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
0.709935083347185,51.6501570373902,401.0,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
308.094110121868,41.2812323662622,992.9,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
307.798327005111,38.0988284040477,979.6,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
307.594005700481,39.5768714677161,957.3,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
94.288382032509,-8.83189571633447,912.5,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
108.544006039377,3.3866708918705,407.0,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
320.656009725069,47.2907197568645,619.9,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
107.490539519476,14.9939533122531,379.8,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
109.0850615651,6.98655678039114,365.0,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
109.253820555333,10.0386312172114,310.2,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
95.9849368920922,-4.583930500218,828.6,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
315.034941180936,47.1700549727156,770.5,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
306.764392921943,38.6847538560938,949.7,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
311.073199662761,45.9233531750966,792.7,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
316.668152468884,47.6584902310288,733.7,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
327.137452279102,74.4145711975939,367.0,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
107.233935694079,24.4282282380599,394.5,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
103.56047455033,20.078430611029,380.3,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
108.881237369812,20.9716772966218,414.3,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
110.126511912463,21.0608598991201,407.6,89,2024-01-15T11:55:55Z,2024-01-16T11:55:55Z,:255:31:60:241
