ra,dec,d,phase,start_times,end_times
108.59896,-10.18371,1130.1,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
82.4525,-2.79094,378.0,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
79.98731,0.69269,372.7,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
78.91686,-1.29225,357.9,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
2.94919,57.46079,429.4,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
348.5132,63.44347,377.3,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
78.80359,0.34932,354.2,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
79.71353,-3.18247,362.1,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
79.59858,1.98697,349.0,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
99.11529,-9.23284,907.0,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
108.75433,-11.12002,1175.5,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
342.85601,69.89879,247.4,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
304.18023,40.91172,1033.4,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
81.85403,8.62879,403.8,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
308.42109,40.10289,957.7,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
74.37309,-7.47941,342.2,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
305.14825,39.68522,1023.8,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
317.53005,47.25798,744.3,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
328.67723,65.44635,456.7,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
85.06377,-1.73572,456.2,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
5.2917,71.42867,148.5,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
107.42348,-10.56194,1107.1,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
99.70599,-8.60987,963.3,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
306.15508,38.53213,995.4,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
86.10711,0.34728,340.4,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
331.88929,59.0429,453.1,344,2025-09-21T11:55:55Z,2025-09-22T11:55:55Z
