ra,dec,d,phase,start_times,end_times
101.12275,-13.89902,1140.7,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
112.91553,12.7311,368.4,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
110.7444,16.56099,361.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
110.81942,15.2063,342.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
4.14349,52.81044,434.1,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
352.05009,58.74289,377.2,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
110.90391,16.94966,341.4,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.47095,13.14198,345.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.98285,18.57104,342.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
97.75139,-9.89705,910.4,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
100.87685,-15.00672,1188.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
334.75892,74.12368,251.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
307.2899,39.25314,1031.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
110.42113,22.95639,408.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
309.15138,39.68329,957.8,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
108.07466,9.9091,303.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
308.07832,38.0611,1023.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
315.76824,48.33479,744.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
339.43213,57.88073,451.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
110.2739,11.17962,446.4,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
212.64019,83.95019,174.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
100.1997,-14.11599,1119.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
96.34216,-10.24669,972.7,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
308.61572,37.12381,995.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
118.88194,16.47457,353.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
340.92306,50.71216,456.2,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
108.99773,7.38504,243.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
307.36143,31.81708,1062.4,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
357.66588,49.4843,425.2,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
1.18484,50.07847,403.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
308.41466,41.10287,992.8,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
308.20724,37.86194,979.7,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
307.90783,39.39983,957.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
96.01203,-7.99363,906.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.6757,4.96629,410.7,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
320.55212,47.36172,619.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
110.31258,16.26464,384.2,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
112.1616,8.49227,369.0,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
112.18744,11.42891,313.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
98.13133,-3.49949,824.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
314.36507,47.56268,770.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
307.07634,38.50993,949.7,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
310.50599,46.23188,793.0,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
316.11564,47.99375,733.8,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
331.22303,73.02495,363.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
109.77078,25.40655,399.4,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
106.27218,21.26308,383.8,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.54424,22.04504,419.8,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
112.79794,22.11924,413.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.79449,14.35997,362.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.1149,13.40904,402.0,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
112.57009,13.21481,420.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
110.42278,3.22762,423.2,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
97.99862,-3.90135,839.7,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
99.02773,-3.71492,825.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
96.28908,-7.19678,822.1,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
101.69252,-7.84555,663.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
102.3247,-7.97594,646.1,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
101.98921,-14.70145,1178.0,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
101.98438,-15.14558,1191.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
351.30169,51.09204,482.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.72726,11.21352,394.4,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
341.73919,69.36064,337.8,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
336.71137,44.0582,456.0,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
113.03587,13.42592,354.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
110.3023,12.27828,397.4,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.689,9.67859,377.1,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
307.4416,39.41511,1023.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
308.34514,45.74054,874.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
308.73924,46.78065,818.0,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
320.44796,47.43263,623.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
322.95446,47.40022,562.1,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
318.81297,56.40014,749.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
323.90047,57.70539,449.6,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
339.43213,57.88073,452.7,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
346.63532,62.87833,390.7,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
341.26621,69.04505,337.0,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
1.91347,51.38149,426.5,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
105.77956,28.71156,314.0,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
113.90252,15.92324,415.8,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
112.83288,11.72925,380.8,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.78289,11.56348,356.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
111.31712,4.78642,413.0,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
121.65782,9.30436,307.1,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
96.54088,-9.05457,1010.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
104.20419,-6.12949,836.3,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
104.3227,-9.43573,663.7,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
97.16337,-9.85153,971.2,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
100.75248,-14.07483,1171.9,100,2024-01-26T11:55:55Z,2024-01-27T11:55:55Z
