ra,dec,d,phase,start_times,end_times
118.10022,-5.09679,1151.6,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
93.76913,3.20008,358.9,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
89.53181,5.99254,354.8,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
88.03546,3.71789,339.1,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
5.48142,46.06599,446.3,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
356.31663,50.50073,384.0,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
87.36489,5.14052,337.0,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
89.67976,2.15083,341.8,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
87.89108,6.66836,334.1,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
115.36401,-0.88062,915.0,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
117.12451,-6.64665,1191.7,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
357.84775,48.9986,250.2,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
304.83611,40.57546,1032.9,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
91.027,13.85211,392.1,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
311.08929,38.52194,958.7,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
82.5837,-3.25474,318.4,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
305.99914,39.22871,1023.5,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
312.62306,50.0871,746.0,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
338.87067,58.40244,451.5,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
99.24272,5.71311,437.3,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
9.94462,39.81669,159.4,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
117.56543,-5.16652,1126.3,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
114.51859,-0.99273,971.2,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
307.9077,37.53982,995.6,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
96.36461,5.79953,329.7,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
339.44631,52.37555,454.5,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
75.25251,-9.68889,275.0,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
304.33961,33.59073,1059.8,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
359.46179,44.22536,435.8,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
3.16769,42.19654,419.8,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
308.52113,41.04322,992.8,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
308.61352,37.62365,979.8,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
309.7577,38.32033,957.9,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
113.24873,0.79018,906.4,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
99.54729,-1.21135,405.1,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
310.71837,52.93632,623.6,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
91.52313,6.95949,375.8,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
94.53568,-0.4296,364.0,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
87.10327,-1.31462,315.5,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
112.83542,4.00743,834.8,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
313.22616,48.20819,771.0,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
309.21808,37.26363,950.4,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
311.63411,45.61205,792.5,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
312.28296,50.13593,735.5,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
345.67359,64.10952,353.9,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
88.44585,15.41402,383.6,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
85.60682,10.82206,380.7,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
93.566,13.72778,401.2,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
94.21442,13.61416,392.7,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
91.50903,4.24791,354.9,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
95.2462,5.55244,392.3,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
98.46929,6.32812,407.0,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
100.0019,-2.10005,419.7,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
113.1478,3.83504,850.3,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
113.90689,3.88944,839.2,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
111.37741,0.48958,819.4,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
111.06811,-3.02972,665.1,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
110.89863,-3.56805,647.5,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
118.27613,-6.23525,1188.9,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
118.11783,-6.77372,1200.4,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
350.98101,51.65766,481.6,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
95.87108,3.2897,385.7,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
353.09671,57.03098,334.4,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
333.79763,47.14672,451.1,258,2025-06-27T11:55:55Z,2025-06-28T11:55:55Z
