ra,dec,d,phase,start_times,end_times
118.01236,-5.14519,1151.3,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
92.88346,2.73351,359.7,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
88.65093,5.51102,355.8,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
87.15639,3.23822,340.3,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
5.4296,46.36384,445.5,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
356.15294,50.88706,383.5,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
86.48741,4.65509,338.2,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
88.79751,1.67912,343.0,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
87.01266,6.18046,335.2,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
115.01025,-1.0674,913.8,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
117.03646,-6.69514,1191.5,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
357.70254,49.38718,249.8,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
304.72726,40.63176,1033.0,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
90.21919,13.41201,392.6,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
310.98888,38.58386,958.7,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
81.6962,-3.71871,320.3,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
305.99914,39.22871,1023.5,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
312.74358,50.02375,745.9,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
338.48706,58.74885,451.5,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
98.35072,5.2531,437.5,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
9.93178,40.01644,159.2,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
117.47749,-5.21479,1125.9,261,2025-06-30T11:55:55Z,2025-07-01T11:55:55Z
