ra,dec,d,phase,start_times,end_times
116.95697,-5.72497,1146.6,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
106.57832,9.73361,359.8,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
102.17369,12.57697,351.8,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
101.04126,10.56195,332.9,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
5.98631,42.98694,454.2,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
357.6789,47.01437,389.5,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
100.30081,11.98488,330.9,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
102.86427,9.01174,336.7,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
100.88706,13.50728,329.8,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
117.04402,0.00696,921.5,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
115.62512,-7.46873,1186.3,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
358.33867,47.63719,251.6,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
306.02149,39.9495,1032.3,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
102.88909,19.77577,396.0,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
311.68817,38.14867,959.3,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
96.04122,3.82838,300.9,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
307.25477,38.53255,1023.3,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
311.15174,50.83732,747.1,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
342.71905,54.43578,452.9,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
110.45763,11.26635,446.7,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
9.62094,44.51057,154.6,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
116.5973,-5.69675,1122.3,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
115.40341,-0.52666,974.2,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
309.0168,36.88421,996.2,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
109.85252,12.50224,336.4,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
342.78134,48.40821,459.3,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
89.55503,-2.55743,247.1,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
304.93392,33.25316,1060.1,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
0.43446,40.90161,445.1,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
3.78535,39.23326,428.7,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
309.57522,40.44138,992.8,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
309.6179,37.02192,980.4,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
310.46212,37.8928,958.3,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
115.20282,1.8019,913.1,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
111.58603,4.92134,410.5,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
312.52205,52.06759,622.0,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
103.7799,13.24693,375.8,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
107.37475,6.13621,363.4,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
100.9486,5.91255,305.4,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
116.33152,5.76154,847.6,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
311.4635,49.15467,772.1,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
309.81685,36.90056,950.8,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
309.58513,46.71959,793.5,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
311.05451,50.75892,736.6,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
348.75307,60.6945,353.1,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
100.24329,21.43139,385.1,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
97.32853,17.13062,375.5,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
105.29447,19.43515,408.2,219,2025-05-19T11:55:55Z,2025-05-20T11:55:55Z
