ra,dec,d,phase,start_times,end_times,color
102.965793939149,-13.01177222561,1135.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
116.560738966733,14.3597777346731,376.0,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
114.188420048868,18.0265865205836,368.1,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
114.230316093494,16.6912893334071,348.4,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
4.71961743861287,50.1343666065729,438.1,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
353.7943479066,55.7895735290683,378.7,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
114.165380882291,18.3282033047965,347.5,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
115.026383900922,14.7336472715034,351.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
115.193709553184,19.8744088188768,348.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
101.196722658748,-8.20458174074753,902.8,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
102.361777789223,-14.3023482338688,1183.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
342.185471822423,70.3437867566045,247.7,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
307.49883528962,39.1357543353725,1031.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
113.650288956864,24.1729545913843,415.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
309.770268424728,39.3200310163457,958.0,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
111.55581669598,11.5653462145685,307.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
308.384406631471,37.8828394621961,1023.6,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
314.629270728094,48.9936911015565,744.8,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
341.358366314399,55.9480546005832,452.0,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
114.342750334634,13.0600855724751,454.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
251.715155955008,87.5004584148066,166.8,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
102.13951118552,-13.1902919194743,1114.3,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
99.4344077569146,-8.74374397407612,964.0,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
309.016795102359,36.884205279954,996.2,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
122.162478533123,17.7909369327924,362.7,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
342.367849714616,48.9424894193547,458.5,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
112.07885598629,8.88752169456042,246.3,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
307.170060921118,31.9336636442981,1062.2,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
358.607840311096,46.8583295405874,429.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
1.97104276991649,47.225316730645,408.2,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
308.945056716075,40.80363544906,992.8,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
308.714687711281,37.5638640157602,979.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
308.530709555797,39.0432550570832,957.4,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
99.5286163500614,-6.25156618802514,898.3,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
115.905487329104,7.06329104520985,418.3,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
320.13377055819,47.6447927077379,619.7,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
113.843175209258,17.7793104400922,391.2,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
116.087445360816,10.3611679612774,376.1,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
115.708536431226,13.0413019242955,319.6,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
102.143635303995,-1.45419644659862,820.3,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
313.3413298007,48.1441519148505,771.0,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
307.695685441879,38.157827611692,949.8,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
309.58513457885,46.7195871283075,793.5,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
314.988898115325,48.6561526885803,734.1,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
337.198910247899,70.3086175582601,359.4,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
112.764329096937,26.4858183758799,406.2,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
109.424208927948,22.5628212905736,389.4,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
114.954471077112,23.334153003635,428.3,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
116.116816704982,23.352641138682,422.2,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
115.379634687686,15.9300943836345,369.5,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
114.958281236544,15.1228018123607,409.9,118,2024-02-13T11:55:55Z,2024-02-14T11:55:55Z,:198:31:60:241
